,ID,COUNTRY,HOSPITAL ID,HOSPITAL NAME,ADDRESS,NEIGHBORHOOD,CITY,STATE,ZIP,AREA,TELEPHONE,EXTENTION,EMAIL,AFFILIATION,NATURE OF ESTABLISHMENT,WEBSITE,TYPE OF ESTABLISHMENT,LEVEL OF CARE,VENTILATORS,BEDS TO VENTILATORS RATIO,LINEAR REGRESSION MODELING,google_search,lat_long,lat,long,
0,16423,Mexico,JCSMP000132,HOSPITAL DEL COUNTRY S.A. DE C.V.,AVENIDA JORGE ALVAREZ DEL CASTILLO 1542,CHAPULTEPEC COUNTRY,GUADALAJARA,JALISCO,44620,33,{38544500},,EVER@HCOUNTRY.COM.MX,Private,Private,HTTPS://WWW.HOSPITALCOUNTRY2000.COM/,,,,-1,-1,HOSPITAL DEL COUNTRY S.A. DE C.V. GUADALAJARA JALISCO MEXICO,"(20.7040854, -103.3645021)",20.7040854,-103.3645021,
1,16578,Mexico,NLSMP000892,CENTRO MEDICO METROPLEX,N 17 468,CIUDAD APODACA,APODACA,NUEVO LEON,66612,81,{83825644},,CENTROMEDICO_METROPLEX@HOTMAIL.COM,Private,Private,,,,,-1,-1,CENTRO MEDICO METROPLEX APODACA NUEVO LEON MEXICO,"(25.7920047, -100.248843)",25.7920047,-100.248843,
2,26011,Mexico,NLSMP000035,HOSPITAL ANGELES VALLE ORIENTE,AVENIDA FRIDA KAHLO 180,VALLE ORIENTE,SAN PEDRO GARZA GARCIA,NUEVO LEON,66260,81,{83687777},,DIRECCIONGENERAL.HAVO@SALUDANGELES.COM,Private,Private,HTTPS://HOSPITALESANGELES.COM/VALLEORIENTE/,,,,-1,-1,HOSPITAL ANGELES VALLE ORIENTE SAN PEDRO GARZA GARCIA NUEVO LEON MEXICO,"(25.6456253, -100.3201372)",25.6456253,-100.3201372,
3,16271,Mexico,BCSMP001592,HOSPITAL BONANOVA,BOULEVARD BENITO JUAREZ 907-31,ZONA CENTRO PLAYAS,ROSARITO,BAJA CALIFORNIA,22710,661,{6125157},,DR.PERALES@GMAIL.COM,Private,Private,HTTP://WWW.HOSPITALBONANOVA.NET/CONTACT.HTML,,,,-1,-1,HOSPITAL BONANOVA ROSARITO BAJA CALIFORNIA MEXICO,"(32.3401506, -117.0565276)",32.3401506,-117.0565276,
4,16284,Mexico,CSSMP000070,CASA DE PARTOS,FELIPE FLORES 83,AMPLIACION MARAVILLA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,29230,967,{6783321},,CRISTINA@LUNAMAY.ORG,Private,Private,,,,,-1,-1,CASA DE PARTOS SAN CRISTOBAL DE LAS CASAS CHIAPAS MEXICO,"(16.7537653, -92.66113949999999)",16.7537653,-92.6611395,
5,16622,Mexico,OCSMP000672,CLINICA HOSPITAL GUADALUPE DE SALINA CRUZ S.A.,MANZANILLO 15,JUQUILITA,SALINA CRUZ,OAXACA,70600,971,{7140236},,,Private,Private,,,,,-1,-1,CLINICA HOSPITAL GUADALUPE DE SALINA CRUZ S.A. SALINA CRUZ OAXACA MEXICO,"(16.2191018, -95.211727)",16.2191018,-95.211727,
6,16593,Mexico,OCSMP000853,CLINICA DE ESPECIALIDADES MEDICAS,CALLE AMAPOLAS 904,REFORMA,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,68050,951,{1042642},,,Private,Private,,,,,-1,-1,CLINICA DE ESPECIALIDADES MEDICAS SAN PEDRO MIXTEPEC -DTO. 22 - OAXACA MEXICO,"(15.9799244, -97.0794263)",15.9799244,-97.0794263,
7,16402,Mexico,DFSMP002395,TORRE CLINIMED,DOMINGO ARELLANO DE RAMIREZ 44,JUAN ESCUTIA,IZTAPALAPA,CDMX,9100,55,{26332524},,GLORYLEON06@HOTMAIL.COM,Private,Private,CLINIMED.MX,,,,-1,-1,TORRE CLINIMED IZTAPALAPA CDMX MEXICO,"(19.3294123, -99.0267877)",19.3294123,-99.0267877,
8,16126,Mexico,PLSMP002481,HOSPITAL GUADALUPE DE PUEBLA,13 ORIENTE 1617,,PUEBLA,PUEBLA,72501,222,{2437300},,,Private,Private,,,,,-1,-1,HOSPITAL GUADALUPE DE PUEBLA PUEBLA PUEBLA MEXICO,"(19.0339048, -98.19100879999999)",19.0339048,-98.1910088,
9,16106,Mexico,PLSMP000265,CLINICA ROMA,PRIVADA NAPOLES 9402,,PUEBLA,PUEBLA,72120,222,{2222819},,,Private,Private,,,,,-1,-1,CLINICA ROMA PUEBLA PUEBLA MEXICO,"(19.0784439, -98.177324)",19.0784439,-98.177324,
10,16084,Mexico,GTSMP000581,HOSPITAL CENTRO DE ESPECIALIDADES,MANUEL DOBLADO 123,,CORTAZAR,GUANAJUATO,38300,411,{1555333},,,Private,Private,,,,,-1,-1,HOSPITAL CENTRO DE ESPECIALIDADES CORTAZAR GUANAJUATO MEXICO,"(20.4835325, -100.962407)",20.4835325,-100.962407,
11,16389,Mexico,YNCRO000023,CRUZ ROJA MEXICANA HOSPITAL DE ORTOPEDIA,AVENIDA QUETZALCOATL 104 X8B,RACCIONAMIENTO VERGEL 65,MERIDA,YUCATAN,97176,999,{9830232},,AROCHA34@HOTMAIL.COM,Cruz Roja,Public,,,,,-1,-1,CRUZ ROJA MEXICANA HOSPITAL DE ORTOPEDIA MERIDA YUCATAN MEXICO,"(20.959743, -89.58021699999999)",20.959743,-89.580217,
12,16542,Mexico,DFSMP004710,CLINICA MEDICA GUADALUPE,ALAMOS 36,SAN LORENZO XICOTENCATL,IZTAPALAPA,ESTADO DE MEXICO,9900,55,{57739167},,MIRAMARLB@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA MEDICA GUADALUPE IZTAPALAPA ESTADO DE MEXICO MEXICO,"(19.467409, -99.04609049999999)",19.467409,-99.0460905,
13,15947,Mexico,JCSMP000926,SERVICIOS MEDICOS DEL SEÑOR DEL PERDON S.A. DE C.V.,JOSE ANGEL CENISEROS 153,TALPITA,TUXPAN,JALISCO,49800,371,{4172122},,SERVICIOSMEDICOS_153@HOTMAIL.COM,Private,Private,,,,,-1,-1,SERVICIOS MEDICOS DEL SEÑOR DEL PERDON S.A. DE C.V. TUXPAN JALISCO MEXICO,"(19.4982119, -103.4040643)",19.4982119,-103.4040643,
