dissemination id,org dissemination id,exec timestamp,action,cleared,collateralization,end user exception,bespoke swap,block trade,exec venue,effective date,end date,day count convention,settlement currency,asset class,asset subclass,contract type,contract subtype,taxonomy,price forming continuation data,underlying asset 1,underlying asset 2,price notation type,price notation,additional price notation type,additional price notation,unique product id,notional currency 1,notional currency amount 1,notional currency 2,notional currency amount 2,payment frequency,payment frequency 2,reset frequency,reset frequency 2,embedded option,option strike price,option type,option family,option currency,option premium,option lock period,option expiration date,submission timestamp,publication timestamp,ticker,cds version
'6570011054144749568','0',2018-06-22T20:38:20.000,New,C,UC,N,N,N,On,12/21/2016,12/21/2026,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,1.750000,USD,118000.000000,InterestRate:IRSwap:FixedFloat,USD,1000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T20:38:22.000,2018-06-22T20:38:22.000,, 
'6570007858689081344','0',2018-06-22T20:25:57.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.963040,,0,InterestRate:IRSwap:FixedFloat,USD,11000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T20:25:58.000,2018-06-22T20:25:58.000,, 
'6570001399058268160','0',2018-06-22T20:00:53.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.811900,,0,InterestRate:IRSwap:FixedFloat,USD,50000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T20:00:54.000,2018-06-22T20:00:54.000,, 
'6570000690388926464','0',2018-06-22T19:58:04.000,New,C,UC,N,N,N,On,03/29/2018,03/29/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.828850,USD,12338.000000,InterestRate:IRSwap:FixedFloat,USD,1000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:58:09.000,2018-06-22T19:58:09.000,, 
'6570000686094483456','0',2018-06-22T19:58:04.000,New,C,UC,N,N,N,On,02/28/2018,02/28/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.879500,USD,10885.000000,InterestRate:IRSwap:FixedFloat,USD,6000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:58:08.000,2018-06-22T19:58:08.000,, 
'6570000677504024576','0',2018-06-22T19:58:04.000,New,C,UC,N,N,N,On,03/09/2018,03/09/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.778000,USD,7162.000000,InterestRate:IRSwap:FixedFloat,USD,11000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:58:06.000,2018-06-22T19:58:06.000,, 
'6569996421191696384','0',2018-06-22T19:41:33.000,New,C,UC,N,N,N,On,12/21/2016,12/21/2026,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,1.750000,USD,227500.000000,InterestRate:IRSwap:FixedFloat,USD,3000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:41:35.000,2018-06-22T19:41:35.000,, 
'6569994226462883840','0',2018-06-22T19:33:02.000,New,C,UC,N,N,N,On,04/13/2018,04/13/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.730000,USD,51412.000000,InterestRate:IRSwap:FixedFloat,USD,6000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:33:04.000,2018-06-22T19:33:04.000,, 
'6569991404669632512','0',2018-06-22T19:22:04.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.962300,,0,InterestRate:IRSwap:FixedFloat,USD,27000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:22:07.000,2018-06-22T19:22:07.000,, 
'6569989884251734016','0',2018-06-22T19:16:11.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.963000,,0,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:16:13.000,2018-06-22T19:16:13.000,, 
'6569989347380035584','0',2018-06-22T19:14:06.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.918700,,0,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:14:08.000,2018-06-22T19:14:08.000,, 
'6569989072502390784','0',2018-06-22T19:13:02.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.967490,,0,InterestRate:IRSwap:FixedFloat,USD,25000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:13:04.000,2018-06-22T19:13:04.000,, 
'6569987663753379840','0',2018-06-22T19:07:32.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,887630.000000,InterestRate:IRSwap:FixedFloat,USD,72000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:07:36.000,2018-06-22T19:07:36.000,, 
'6569987659458150400','0',2018-06-22T19:07:32.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,684325.000000,InterestRate:IRSwap:FixedFloat,USD,7000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:07:35.000,2018-06-22T19:07:35.000,, 
'6569987285796257792','0',2018-06-22T19:06:04.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,2216249.000000,InterestRate:IRSwap:FixedFloat,USD,180000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:06:08.000,2018-06-22T19:06:08.000,, 
'6569987281500766208','0',2018-06-22T19:06:04.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,1672684.000000,InterestRate:IRSwap:FixedFloat,USD,40000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:06:07.000,2018-06-22T19:06:07.000,, 
'6569986121859858432','0',2018-06-22T19:01:34.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.918900,,0,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:01:37.000,2018-06-22T19:01:37.000,, 
